iter	Passed	Remaining
944	12619	20765
945	12650	20780
946	12657	20757
947	12669	20741
948	12678	20721
949	12690	20704
950	12712	20705
951	12722	20687
952	12732	20667
953	12740	20647
954	12751	20628
955	12773	20629
956	12783	20610
957	12795	20595
958	12803	20573
959	12817	20560
960	12842	20566
961	12849	20542
962	12863	20530
963	12876	20516
964	12887	20500
965	12907	20496
966	12912	20470
967	12925	20455
968	12934	20436
969	12945	20419
970	12968	20421
971	12978	20401
972	12987	20382
973	12995	20361
974	13008	20346
975	13033	20351
976	13044	20333
977	13055	20318
978	13063	20296
979	13073	20277
980	13097	20281
981	13106	20260
982	13121	20249
983	13129	20228
984	13139	20210
985	13164	20214
986	13175	20197
987	13184	20177
988	13194	20158
989	13205	20141
990	13228	20143
991	13234	20119
992	13244	20100
993	13254	20081
994	13266	20066
995	13287	20064
996	13297	20046
997	13305	20025
998	13316	20007
999	13325	19987
1000	13346	19985
1001	13354	19964
1002	13364	19946
1003	13373	19927
1004	13382	19907
1005	13406	19909
1006	13413	19886
1007	13422	19867
1008	13435	19854
1009	13442	19831
1010	13465	19832
1011	13472	19809
1012	13481	19789
1013	13490	19769
1014	13500	19752
1015	13524	19754
1016	13531	19732
1017	13542	19715
1018	13554	19699
1019	13565	19682
1020	13590	19687
1021	13597	19664
1022	13607	19646
1023	13619	19630
1024	13634	19619
1025	13657	19620
1026	13664	19598
1027	13675	19581
1028	13685	19564
1029	13695	19546
1030	13719	19548
1031	13727	19527
1032	13737	19509
1033	13747	19491
1034	13758	19474
1035	13785	19480
1036	13792	19458
1037	13802	19441
1038	13810	19419
1039	13821	19403
1040	13842	19400
1041	13850	19379
1042	13861	19363
1043	13875	19351
1044	13884	19331
1045	13909	19334
1046	13916	19313
1047	13927	19295
1048	13935	19276
1049	13947	19260
1050	13972	19263
1051	13982	19245
1052	13992	19228
1053	14005	19214
1054	14014	19195
1055	14037	19195
1056	14047	19177
1057	14062	19166
1058	14068	19143
1059	14080	19128
1060	14104	19130
1061	14111	19107
1062	14123	19092
1063	14132	19073
1064	14143	19057
1065	14168	19059
1066	14177	19040
1067	14191	19028
1068	14200	19008
1069	14210	18991
1070	14233	18991
1071	14243	18973
1072	14256	18960
1073	14266	18942
1074	14280	18930
1075	14306	18933
1076	14315	18914
1077	14327	18899
1078	14335	18879
1079	14349	18866
1080	14371	18864
1081	14380	18845
1082	14391	18829
1083	14405	18817
1084	14412	18795
1085	14437	18797
1086	14447	18780
1087	14458	18764
1088	14467	18745
1089	14478	18728
1090	14501	18728
1091	14509	18708
1092	14520	18691
1093	14528	18672
1094	14538	18654
1095	14564	18657
1096	14570	18635
1097	14582	18620
1098	14591	18601
1099	14603	18586
1100	14628	18587
1101	14636	18568
1102	14646	18551
1103	14656	18533
1104	14665	18514
1105	14687	18512
1106	14694	18490
1107	14705	18474
1108	14716	18458
1109	14727	18443
1110	14749	18439
1111	14756	18419
1112	14766	18401
1113	14775	18383
1114	14786	18367
1115	14813	18371
1116	14825	18355
1117	14833	18336
1118	14847	18324
1119	14859	18308
1120	14881	18306
1121	14894	18292
1122	14903	18274
1123	14913	18256
1124	14924	18240
1125	14951	18244
1126	14958	18223
1127	14970	18208
1128	14980	18192
1129	14995	18180
1130	15016	18175
1131	15025	18158
1132	15038	18144
1133	15049	18128
1134	15062	18115
1135	15084	18111
1136	15094	18094
1137	15105	18078
1138	15114	18060
1139	15128	18048
1140	15148	18043
1141	15158	18025
1142	15167	18007
1143	15178	17991
1144	15191	17978
1145	15217	17979
1146	15225	17959
1147	15234	17941
1148	15247	17927
1149	15259	17912
1150	15288	17918
1151	15298	17901
1152	15307	17883
1153	15321	17870
1154	15332	17854
1155	15359	17856
1156	15366	17836
1157	15379	17823
1158	15391	17808
1159	15403	17794
1160	15430	17796
1161	15443	17782
1162	15449	17760
1163	15466	17751
1164	15475	17734
1165	15504	17738
1166	15512	17718
1167	15527	17707
1168	15539	17693
1169	15546	17672
1170	15573	17674
1171	15585	17660
1172	15593	17640
1173	15608	17629
1174	15619	17613
1175	15647	17616
1176	15657	17599
1177	15669	17585
1178	15679	17568
1179	15692	17554
1180	15717	17553
1181	15729	17539
1182	15736	17519
1183	15753	17509
1184	15759	17488
1185	15788	17493
1186	15800	17478
1187	15812	17463
1188	15823	17446
1189	15834	17431
1190	15861	17433
1191	15872	17417
1192	15881	17398
1193	15894	17385
1194	15907	17371
1195	15935	17374
1196	15947	17359
1197	15955	17340
1198	15964	17322
1199	15977	17308
1200	15999	17304
1201	16009	17287
1202	16023	17275
1203	16034	17259
1204	16041	17240
1205	16069	17242
1206	16076	17221
1207	16086	17204
1208	16095	17187
1209	16105	17170
1210	16130	17169
1211	16141	17154
1212	16154	17140
1213	16161	17119
1214	16171	17102
1215	16192	17097
1216	16206	17085
1217	16214	17066
1218	16227	17052
1219	16235	17033
1220	16261	17034
